"file","source_row","field","value","action"
"phytoplankton_super_2018.xlsx",78,"SST_other_degC","35.2","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",79,"SST_other_degC","34.8","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",91,"SST_other_degC","23.7","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",92,"SST_other_degC","23.3","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",93,"SST_other_degC","25.2","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",94,"SST_other_degC","23.7","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",95,"SST_other_degC","24.2","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",96,"SST_other_degC","25.7","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",97,"SST_other_degC","26.1","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",98,"SST_other_degC","23.9","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",99,"SST_other_degC","25.3","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",100,"SST_other_degC","27.6","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",101,"SST_other_degC","23.6","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",102,"SST_other_degC","18.5","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",103,"SST_other_degC","26.2","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",104,"SST_other_degC","24.5","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",105,"SST_other_degC","22.2","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",106,"SST_other_degC","26","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",107,"SST_other_degC","23.1","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",108,"SST_other_degC","24.9","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",109,"SST_other_degC","24.6","Used alternate SST with its matching uncertainty and method"
"phytoplankton_super_2018.xlsx",110,"SST_other_degC","25.1","Used alternate SST with its matching uncertainty and method"
