"file","source_row","field","value","problem"
"boron_isotopes_badger_2013.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_badger_2013.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_badger_2013.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_badger_2013.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_badger_2013.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_badger_2013.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
