"action","file_1","sheet_1","source_row_1","publication_year_1","sample_1","site_1","depth_m_1","composite_depth_m_1","lat_1","lon_1","age_Ma_1","species_1","shell_size_1","d11B_replicates_1","MgCa_replicates_1","replicate_2SE_1","published_pCO2_1","d11B_1","d11B_2s_1","MgCa_1","MgCa_2s_1","temperature_1","source_notes_1","MgCa_from_replicates_1","retained_1","retained_file_1","retained_source_row_1","combined_row_1","intermediate_row_1","file_2","sheet_2","source_row_2","publication_year_2","sample_2","site_2","depth_m_2","composite_depth_m_2","lat_2","lon_2","age_Ma_2","species_2","shell_size_2","d11B_replicates_2","MgCa_replicates_2","replicate_2SE_2","published_pCO2_2","d11B_2","d11B_2s_2","MgCa_2","MgCa_2s_2","temperature_2","source_notes_2","MgCa_from_replicates_2","retained_2","retained_file_2","retained_source_row_2","combined_row_2","intermediate_row_2"
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",9,2022,"ODP 806_B_4_1_131_133","ODP 806",,,0.3185,159.3615,1.26695,"Globigerinoides ruber","250-300","18.2484335256934","3.86862498452528",,310.194,18.2484335256934,0.209247389225913,3.86862498452528,0.02,28.0381583349889,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",9,781,10,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",98,2022,"ODP 806_B_4_1_131_133","ODP 806",,,0.3185,159.3615,1.26695,"Globigerinoides ruber","250-300","18.2484335256934","3.86862498452528",,279.909,18.2484335256934,0.209247389225913,3.86862498452528,0.02,28.0381583349889,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",9,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",9,2022,"ODP 806_B_4_1_131_133","ODP 806",,,0.3185,159.3615,1.26695,"Globigerinoides ruber","250-300","18.2484335256934","3.86862498452528",,310.194,18.2484335256934,0.209247389225913,3.86862498452528,0.02,28.0381583349889,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",9,781,10,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",187,2022,"ODP 806_B_4_1_131_133","ODP 806",,,0.3185,159.3615,1.26695,"Globigerinoides ruber","250-300","18.2484335256934","3.86862498452528",,244.747,18.2484335256934,0.209247389225913,3.86862498452528,0.02,28.0381583349889,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",9,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",10,2022,"ODP 806_B_5_1_41_43","ODP 806",,,0.3185,159.3615,1.63758137812951,"Globigerinoides ruber","250-300","20.1195201609803","3.84992756008625",,152.874,20.1195201609803,0.257084376147543,3.84992756008625,0.02,29.8859443179072,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",10,782,11,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",99,2022,"ODP 806_B_5_1_41_43","ODP 806",,,0.3185,159.3615,1.63758137812951,"Globigerinoides ruber","250-300","20.1195201609803","3.84992756008625",,136.528,20.1195201609803,0.257084376147543,3.84992756008625,0.02,29.8859443179072,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",10,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",10,2022,"ODP 806_B_5_1_41_43","ODP 806",,,0.3185,159.3615,1.63758137812951,"Globigerinoides ruber","250-300","20.1195201609803","3.84992756008625",,152.874,20.1195201609803,0.257084376147543,3.84992756008625,0.02,29.8859443179072,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",10,782,11,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",188,2022,"ODP 806_B_5_1_41_43","ODP 806",,,0.3185,159.3615,1.63758137812951,"Globigerinoides ruber","250-300","20.1195201609803","3.84992756008625",,123.496,20.1195201609803,0.257084376147543,3.84992756008625,0.02,29.8859443179072,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",10,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",11,2022,"ODP 806_B_5_6_23_25","ODP 806",,,0.3185,159.3615,1.93309566986964,"Globigerinoides ruber","250-300","17.9667271862851","4.10858232087299",,358.077,17.9667271862851,0.257084376147543,4.10858232087299,0.02,28.717286967561,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",11,783,12,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",100,2022,"ODP 806_B_5_6_23_25","ODP 806",,,0.3185,159.3615,1.93309566986964,"Globigerinoides ruber","250-300","17.9667271862851","4.10858232087299",,309.934,17.9667271862851,0.257084376147543,4.10858232087299,0.02,28.717286967561,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",11,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",11,2022,"ODP 806_B_5_6_23_25","ODP 806",,,0.3185,159.3615,1.93309566986964,"Globigerinoides ruber","250-300","17.9667271862851","4.10858232087299",,358.077,17.9667271862851,0.257084376147543,4.10858232087299,0.02,28.717286967561,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",11,783,12,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",189,2022,"ODP 806_B_5_6_23_25","ODP 806",,,0.3185,159.3615,1.93309566986964,"Globigerinoides ruber","250-300","17.9667271862851","4.10858232087299",,282.719,17.9667271862851,0.257084376147543,4.10858232087299,0.02,28.717286967561,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",11,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",12,2022,"ODP 806_B_6_2_0_2","ODP 806",,,0.3185,159.3615,2.06202109792738,"Globigerinoides ruber","250-300","19.3399684407694","5.01669945816092",,229.867,19.3399684407694,0.334054564130627,5.01669945816092,0.02,33.4578254953638,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",12,784,13,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",101,2022,"ODP 806_B_6_2_0_2","ODP 806",,,0.3185,159.3615,2.06202109792738,"Globigerinoides ruber","250-300","19.3399684407694","5.01669945816092",,199.14,19.3399684407694,0.334054564130627,5.01669945816092,0.02,33.4578254953638,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",12,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",12,2022,"ODP 806_B_6_2_0_2","ODP 806",,,0.3185,159.3615,2.06202109792738,"Globigerinoides ruber","250-300","19.3399684407694","5.01669945816092",,229.867,19.3399684407694,0.334054564130627,5.01669945816092,0.02,33.4578254953638,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",12,784,13,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",190,2022,"ODP 806_B_6_2_0_2","ODP 806",,,0.3185,159.3615,2.06202109792738,"Globigerinoides ruber","250-300","19.3399684407694","5.01669945816092",,185.851,19.3399684407694,0.334054564130627,5.01669945816092,0.02,33.4578254953638,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",12,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",13,2022,"ODP 806_B_6_7_24_26","ODP 806",,,0.3185,159.3615,2.35804995766209,"Globigerinoides ruber","250-300","19.29,19.45","3.77205486735043",,198.783,19.3704236334048,0.236212247583082,3.77205486735043,0.02,28.8960076812093,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",13,785,14,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",102,2022,"ODP 806_B_6_7_24_26","ODP 806",,,0.3185,159.3615,2.35804995766209,"Globigerinoides ruber","250-300","19.29,19.45","3.77205486735043",,165.872,19.3704236334048,0.236212247583082,3.77205486735043,0.02,28.8960076812093,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",13,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",13,2022,"ODP 806_B_6_7_24_26","ODP 806",,,0.3185,159.3615,2.35804995766209,"Globigerinoides ruber","250-300","19.29,19.45","3.77205486735043",,198.783,19.3704236334048,0.236212247583082,3.77205486735043,0.02,28.8960076812093,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",13,785,14,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",191,2022,"ODP 806_B_6_7_24_26","ODP 806",,,0.3185,159.3615,2.35804995766209,"Globigerinoides ruber","250-300","19.29,19.45","3.77205486735043",,161.611,19.3704236334048,0.236212247583082,3.77205486735043,0.02,28.8960076812093,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",13,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",14,2022,"ODP 806_B_7_1_24_26","ODP 806",,,0.3185,159.3615,2.37641348044425,"Globigerinoides ruber","250-300","18.38,18.63","3.98151600647593",,284.288,18.5061522418593,0.236212247583082,3.98151600647593,0.02,28.955038496138,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",14,786,15,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",103,2022,"ODP 806_B_7_1_24_26","ODP 806",,,0.3185,159.3615,2.37641348044425,"Globigerinoides ruber","250-300","18.38,18.63","3.98151600647593",,234.37,18.5061522418593,0.236212247583082,3.98151600647593,0.02,28.955038496138,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",14,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",14,2022,"ODP 806_B_7_1_24_26","ODP 806",,,0.3185,159.3615,2.37641348044425,"Globigerinoides ruber","250-300","18.38,18.63","3.98151600647593",,284.288,18.5061522418593,0.236212247583082,3.98151600647593,0.02,28.955038496138,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",14,786,15,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",192,2022,"ODP 806_B_7_1_24_26","ODP 806",,,0.3185,159.3615,2.37641348044425,"Globigerinoides ruber","250-300","18.38,18.63","3.98151600647593",,228.715,18.5061522418593,0.236212247583082,3.98151600647593,0.02,28.955038496138,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",14,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",15,2022,"ODP 806_B_7_1_85_87","ODP 806",,,0.3185,159.3615,2.39958593810049,"Globigerinoides ruber","250-300","17.8465412953883","4.34569806475101",,389.011,17.8465412953883,0.26995517415545,4.34569806475101,0.02,29.6980687098612,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",15,787,16,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",104,2022,"ODP 806_B_7_1_85_87","ODP 806",,,0.3185,159.3615,2.39958593810049,"Globigerinoides ruber","250-300","17.8465412953883","4.34569806475101",,315.314,17.8465412953883,0.26995517415545,4.34569806475101,0.02,29.6980687098612,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",15,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",15,2022,"ODP 806_B_7_1_85_87","ODP 806",,,0.3185,159.3615,2.39958593810049,"Globigerinoides ruber","250-300","17.8465412953883","4.34569806475101",,389.011,17.8465412953883,0.26995517415545,4.34569806475101,0.02,29.6980687098612,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",15,787,16,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",193,2022,"ODP 806_B_7_1_85_87","ODP 806",,,0.3185,159.3615,2.39958593810049,"Globigerinoides ruber","250-300","17.8465412953883","4.34569806475101",,308.44,17.8465412953883,0.26995517415545,4.34569806475101,0.02,29.6980687098612,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",15,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",16,2022,"ODP 806_B_7_2_38_40","ODP 806",,,0.3185,159.3615,2.43792730372649,"Globigerinoides ruber","250-300","16.9667280787451","3.79348286319219",,545.103,16.9667280787451,0.26995517415545,3.79348286319219,0.02,26.3817655221163,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",16,788,17,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",105,2022,"ODP 806_B_7_2_38_40","ODP 806",,,0.3185,159.3615,2.43792730372649,"Globigerinoides ruber","250-300","16.9667280787451","3.79348286319219",,425.271,16.9667280787451,0.26995517415545,3.79348286319219,0.02,26.3817655221163,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",16,,
