"file","source_row","field","value","problem"
"boron_isotopes_anderson_2024.xlsx",4,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",6,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",8,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",11,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",12,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",13,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
