"file","source_row","field","value","action"
"stomata-franks_liang_2022a.xlsx",,"product row","stomata-franks_liang_2022a_p1.0.xlsx 13","CO2 summary without fossil measurements; not added as a sample"
"stomata-franks_liang_2022b.xlsx",,"product row","stomata-franks_liang_2022b_p1.0.xlsx 9","CO2 summary without fossil measurements; not added as a sample"
"stomata-franks_londono_2018.xlsx",,"product row","stomata-franks_londono_2018_p1.0.xlsx 8","CO2 summary without fossil measurements; not added as a sample"
"stomata-franks_reichgelt_2020.xlsx",4,"product match",,"No unique product match; archive retained"
"stomata-franks_reichgelt_2020.xlsx",17,"product match",,"No unique product match; archive retained"
"stomata-franks_reichgelt_2020.xlsx",35,"product match",,"No unique product match; archive retained"
"stomata-franks_reichgelt_2020.xlsx",43,"product match",,"No unique product match; archive retained"
"stomata-franks_reichgelt_2020.xlsx",,"product row","stomata-franks_reichgelt_2020_p1.0.xlsx 3","CO2 summary without fossil measurements; not added as a sample"
"stomata-franks_reichgelt_2020.xlsx",,"product row","stomata-franks_reichgelt_2020_p1.0.xlsx 16","CO2 summary without fossil measurements; not added as a sample"
"stomata-franks_reichgelt_2020.xlsx",,"product row","stomata-franks_reichgelt_2020_p1.0.xlsx 34","CO2 summary without fossil measurements; not added as a sample"
"stomata-franks_reichgelt_2020.xlsx",,"product row","stomata-franks_reichgelt_2020_p1.0.xlsx 42","CO2 summary without fossil measurements; not added as a sample"
"stomata-konrad-fom_erdei_2012.xlsx",,"method","konrad-fom","Outside Franks/SD/SI/SR priority; not generated"
"stomata-konrad-fom_grein_2013.xlsx",,"method","konrad-fom","Outside Franks/SD/SI/SR priority; not generated"
"stomata-konrad-fom_moraweck_2019.xlsx",,"method","konrad-fom","Outside Franks/SD/SI/SR priority; not generated"
"stomata-konrad-fom_roth-nebelsick_2014.xlsx",,"method","konrad-fom","Outside Franks/SD/SI/SR priority; not generated"
"stomata-konrad-rom_sun_2017.xlsx",,"method","konrad-rom","Outside Franks/SD/SI/SR priority; not generated"
"stomata-si_beerling_2009.xlsx",4,"product match",,"No unique product match; archive retained"
"stomata-si_steinthorsdottir_2019a.xlsx",,"product row","stomata-si_steinthorsdottir_2019a_p1.0.xlsx 11","CO2 summary without fossil measurements; not added as a sample"
"stomata-si_steinthorsdottir_2019a.xlsx",,"product row","stomata-si_steinthorsdottir_2019a_p1.0.xlsx 12","CO2 summary without fossil measurements; not added as a sample"
"stomata-si_steinthorsdottir_2019a.xlsx",,"product row","stomata-si_steinthorsdottir_2019a_p1.0.xlsx 13","CO2 summary without fossil measurements; not added as a sample"
"stomata-sr_steinthorsdottir_2016a.xlsx",6,"product match",,"No unique product match; archive retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",8,"product match",,"No unique product match; archive retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",9,"product match",,"No unique product match; archive retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",10,"product match",,"No unique product match; archive retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",,"product row","stomata-sr_steinthorsdottir_2016a_p1.0.xlsx 4","Additional measured product sample retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",,"product row","stomata-sr_steinthorsdottir_2016a_p1.0.xlsx 5","Additional measured product sample retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",,"product row","stomata-sr_steinthorsdottir_2016a_p1.0.xlsx 6","Additional measured product sample retained"
"stomata-sr_steinthorsdottir_2016a.xlsx",,"product row","stomata-sr_steinthorsdottir_2016a_p1.0.xlsx 8","Additional measured product sample retained"
"stomata-sr_sun_2012.xlsx",,"product row","stomata-sr_sun_2012_p1.0.xlsx 5","CO2 summary without fossil measurements; not added as a sample"
"stomata-si_liang_2022a_p1.0.xlsx",2,"method","si","Not selected by study method priority"
"stomata-si_liang_2022b_p1.0.xlsx",2,"method","si","Not selected by study method priority"
"stomata-si_maxbauer_2014.xlsx",2,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",3,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",4,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",5,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",6,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",7,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",8,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",9,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",10,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",11,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",12,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",13,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",14,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",15,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",16,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",17,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",18,"method","si","Not selected by study method priority"
"stomata-si_steinthorsdottir_2021_p1.0.xlsx",19,"method","si","Not selected by study method priority"
