"file","source_row","field","value","problem"
"stomata-si_wang_2015.xlsx",2,"measurement",,"No primary proxy measurement mapped"
"stomata-si_wang_2015.xlsx",3,"measurement",,"No primary proxy measurement mapped"
"stomata-si_wang_2015.xlsx",4,"measurement",,"No primary proxy measurement mapped"
"stomata-si_wang_2015.xlsx",5,"measurement",,"No primary proxy measurement mapped"
"stomata-si_wang_2015.xlsx",6,"measurement",,"No primary proxy measurement mapped"
"stomata-si_wang_2015.xlsx",7,"measurement",,"No primary proxy measurement mapped"
"stomata-si_wang_2015.xlsx",8,"measurement",,"No primary proxy measurement mapped"
