"file","source_row","field","value","problem"
"stomata-si_steinthorsdottir_2019a.xlsx",2,"F",,"Missing latitude"
"stomata-si_steinthorsdottir_2019a.xlsx",2,"G",,"Missing longitude"
"stomata-sr_steinthorsdottir_2019a.xlsx",4,"F",,"Missing latitude"
"stomata-sr_steinthorsdottir_2019a.xlsx",4,"G",,"Missing longitude"
"stomata-si_steinthorsdottir_2019a.xlsx",2,"measurement",,"No primary proxy measurement mapped"
"stomata-si_steinthorsdottir_2019a.xlsx",3,"measurement",,"No primary proxy measurement mapped"
"stomata-sr_steinthorsdottir_2019a.xlsx",4,"measurement",,"No primary proxy measurement mapped"
"stomata-sr_steinthorsdottir_2019a.xlsx",5,"measurement",,"No primary proxy measurement mapped"
