"combined_row","field","source","conversion"
6,"eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AQ5",
6,"N_eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AR5",
6,"GCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AS5",
6,"eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AT5",
6,"N_eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AU5",
6,"GCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AV5",
6,"eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AW5",
6,"N_eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AX5",
6,"GCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AY5",
6,"eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AZ5",
6,"N_eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BA5",
6,"GCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BB5",
6,"eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BC5",
6,"N_eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BD5",
6,"d13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BE5",
6,"ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BF5",
6,"N_ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BG5",
6,"dv","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CL5",
6,"A0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BL5",
6,"eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BM5",
6,"N_eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BN5",
6,"CiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BO5",
6,"eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BP5",
6,"N_eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BQ5",
6,"gb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BR5",
6,"egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BS5",
6,"N_egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BT5",
6,"s1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BU5",
6,"es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BV5",
6,"N_es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BW5",
6,"s2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BX5",
6,"es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BY5",
6,"N_es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BZ5",
6,"s3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CA5",
6,"es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CB5",
6,"N_es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CC5",
6,"s4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CD5",
6,"es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CE5",
6,"N_es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CF5",
6,"s5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CG5",
6,"es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CH5",
6,"N_es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CI5",
7,"sample","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!O6",
7,"doi","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!D6",
7,"lat","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AA6",
7,"lon","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AB6",
7,"age_mean","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!V6",
7,"age_min","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!X6",
7,"age_max","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!W6",
7,"age_notes","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Z6",
7,"family","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!P6",
7,"genus","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Q6",
7,"Dab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AM6",
7,"eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AN6",
7,"N_eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AO6",
7,"Dad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AP6",
7,"eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AQ6",
7,"N_eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AR6",
7,"GCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AS6",
7,"eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AT6",
7,"N_eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AU6",
7,"GCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AV6",
7,"eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AW6",
7,"N_eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AX6",
7,"GCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AY6",
7,"eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AZ6",
7,"N_eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BA6",
7,"GCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BB6",
