".file",".sheet",".row",".study","method","sample","age_mean","combined_row","included"
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",4,"liang_2022a","franks","BU19073006","15.78",5,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",5,"liang_2022a","franks","BU19073045","15.78",6,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",6,"liang_2022a","franks","BU19073047","15.78",7,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",7,"liang_2022a","franks","BU19073049","15.78",8,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",8,"liang_2022a","franks","BU19073050","15.78",9,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",9,"liang_2022a","franks","BU19073052","15.78",10,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",10,"liang_2022a","franks","BU19073062","15.78",11,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",11,"liang_2022a","franks","BU19073054","15.78",12,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",12,"liang_2022a","franks","BU18080136","15.78",13,TRUE
"stomata-franks_liang_2022a.xlsx","leaf gas-exchange_Franks",13,"liang_2022a","franks","BU19030917-1","15.78",14,TRUE
"stomata-franks_liang_2022b.xlsx","leaf gas-exchange_Franks",4,"liang_2022b","franks","Metasequoia ELS-18-61","21.09",16,TRUE
"stomata-franks_liang_2022b.xlsx","leaf gas-exchange_Franks",5,"liang_2022b","franks","Metasequoia ELS-18-181","21.09",17,TRUE
"stomata-franks_liang_2022b.xlsx","leaf gas-exchange_Franks",6,"liang_2022b","franks","Metasequoia ELS-19-148","21.09",18,TRUE
"stomata-franks_liang_2022b.xlsx","leaf gas-exchange_Franks",7,"liang_2022b","franks","Sequoia ELS-18-27","21.09",19,TRUE
"stomata-franks_liang_2022b.xlsx","leaf gas-exchange_Franks",8,"liang_2022b","franks","Sequoia ELS-18-201","21.09",20,TRUE
"stomata-franks_liang_2022b.xlsx","leaf gas-exchange_Franks",9,"liang_2022b","franks","Sequoia ELS-19-87","21.09",21,TRUE
"stomata-franks_londono_2018.xlsx","leaf gas-exchange_Franks",4,"londono_2018","franks","PM-M2","18.100000000000001",22,TRUE
"stomata-franks_londono_2018.xlsx","leaf gas-exchange_Franks",5,"londono_2018","franks","PM-M3","18.100000000000001",23,TRUE
"stomata-franks_londono_2018.xlsx","leaf gas-exchange_Franks",6,"londono_2018","franks","PM-M4","18.100000000000001",24,TRUE
"stomata-franks_londono_2018.xlsx","leaf gas-exchange_Franks",7,"londono_2018","franks","PM-M5","18.100000000000001",25,TRUE
"stomata-franks_londono_2018.xlsx","leaf gas-exchange_Franks",8,"londono_2018","franks","PM-M6","18.100000000000001",26,TRUE
"stomata-franks_maxbauer_2014.xlsx","leaf gas-exchange_Franks",4,"maxbauer_2014","franks","Metasequoia occidentalis","42.5",,FALSE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",4,"reichgelt_2020","franks",,"22.946000000000002",27,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",5,"reichgelt_2020","franks","9.09.50.1","22.939",28,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",6,"reichgelt_2020","franks","14.2.15.1","22.943999999999999",29,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",7,"reichgelt_2020","franks","14.2.40.5","22.943999999999999",30,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",8,"reichgelt_2020","franks","14.2.40.6","22.943999999999999",31,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",9,"reichgelt_2020","franks","17.91.45.5","22.946999999999999",32,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",10,"reichgelt_2020","franks","17.91.70.1","22.946999999999999",33,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",11,"reichgelt_2020","franks","17.91.70.5","22.946999999999999",34,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",12,"reichgelt_2020","franks","17.91.70.7","22.946999999999999",35,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",13,"reichgelt_2020","franks","17.91.70.8","22.946999999999999",36,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",14,"reichgelt_2020","franks","18.99.35.1","22.948",37,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",15,"reichgelt_2020","franks","18.99.90.1","22.948",38,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",16,"reichgelt_2020","franks","18.99.90.2","22.948",39,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",17,"reichgelt_2020","franks",,"22.968",40,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",18,"reichgelt_2020","franks","18.99.90.5","22.948",41,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",19,"reichgelt_2020","franks","31.19.10.1","22.960999999999999",42,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",20,"reichgelt_2020","franks","31.19.20.4","22.960999999999999",43,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",21,"reichgelt_2020","franks","31.19.34.1","22.960999999999999",44,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",22,"reichgelt_2020","franks","32.20.30.1","22.962",45,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",23,"reichgelt_2020","franks","32.20.60.1","22.962",46,TRUE
"stomata-franks_reichgelt_2020.xlsx","leaf gas-exchange_Franks",24,"reichgelt_2020","franks","37.4.25.4","22.966999999999999",47,TRUE
